,Movie_name,Ratings,Year,Rated_by,Director,Lead_hero,Co_star
62,The Great Dictator,8.4,1940,"218,752",Charles Chaplin,Charles Chaplin,Paulette Goddard
63,Avengers: Infinity War,8.4,2018,"993,842",Anthony Russo,Robert Downey Jr.,Chris Hemsworth
64,Witness for the Prosecution,8.4,1957,"121,017",Billy Wilder,Tyrone Power,Marlene Dietrich
65,Aliens,8.4,1986,"695,131",James Cameron,Sigourney Weaver,Michael Biehn
66,American Beauty,8.3,1999,"1,126,161",Sam Mendes,Kevin Spacey,Annette Bening
67,The Dark Knight Rises,8.3,2012,"1,634,242",Christopher Nolan,Christian Bale,Tom Hardy
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,1964,"477,282",Stanley Kubrick,Peter Sellers,George C. Scott
69,Joker,8.3,2019,"1,164,126",Todd Phillips,Joaquin Phoenix,Robert De Niro
70,Spider-Man: Into the Spider-Verse,8.3,2018,"478,306",Bob Persichetti,Shameik Moore,Jake Johnson
71,Old Boy,8.3,2003,"557,614",Park Chan-wook,Choi Min-sik,Yoo Ji-Tae
72,Braveheart,8.3,1995,"1,010,917",Mel Gibson,Mel Gibson,Sophie Marceau
73,Toy Story,8.3,1995,"955,571",John Lasseter,Tom Hanks,Tim Allen
74,Amadeus,8.3,1984,"391,175",Milos Forman,F. Murray Abraham,Tom Hulce
75,Coco,8.3,2017,"468,258",Lee Unkrich,Anthony Gonzalez,Gael García Bernal
76,Inglourious Basterds,8.3,2009,"1,381,479",Quentin Tarantino,Brad Pitt,Diane Kruger
77,The Boat,8.3,1981,"245,771",Wolfgang Petersen,Jürgen Prochnow,Herbert Grönemeyer
78,Avengers: Endgame,8.3,2019,"1,028,056",Anthony Russo,Robert Downey Jr.,Chris Evans
79,Princess Mononoke,8.3,1997,"378,293",Hayao Miyazaki,Yôji Matsuda,Yuriko Ishida
80,Once Upon a Time in America,8.3,1984,"340,130",Sergio Leone,Robert De Niro,James Woods
81,Good Will Hunting,8.3,1997,"929,726",Gus Van Sant,Robin Williams,Matt Damon
82,Toy Story 3,8.3,2010,"807,469",Lee Unkrich,Tom Hanks,Tim Allen
83,Requiem for a Dream,8.3,2000,"815,109",Darren Aronofsky,Ellen Burstyn,Jared Leto
84,3 Idiots,8.3,2009,"381,915",Rajkumar Hirani,Aamir Khan,Madhavan
85,Your Name.,8.3,2016,"244,828",Makoto Shinkai,Ryûnosuke Kamiki,Mone Kamishiraishi
86,Singin' in the Rain,8.3,1952,"235,164",Stanley Donen,Gene Kelly,Donald O'Connor
87,Star Wars: Episode VI - Return of the Jedi,8.3,1983,"1,013,834",Richard Marquand,Mark Hamill,Harrison Ford
88,Reservoir Dogs,8.3,1992,"983,572",Quentin Tarantino,Harvey Keitel,Tim Roth
89,Eternal Sunshine of the Spotless Mind,8.3,2004,"973,374",Michel Gondry,Jim Carrey,Kate Winslet
90,2001: A Space Odyssey,8.3,1968,"646,955",Stanley Kubrick,Keir Dullea,Gary Lockwood
91,High and Low,8.3,1963,"42,117",Akira Kurosawa,Toshirô Mifune,Yutaka Sada
92,Citizen Kane,8.3,1941,"431,896",Orson Welles,Orson Welles,Joseph Cotten
93,Lawrence of Arabia,8.3,1962,"286,154",David Lean,Peter O'Toole,Alec Guinness
94,Capernaum,8.3,2018,"83,060",Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw
95,M,8.3,1931,"154,316",Fritz Lang,Peter Lorre,Ellen Widmann
96,North by Northwest,8.3,1959,"319,713",Alfred Hitchcock,Cary Grant,Eva Marie Saint
97,The Hunt,8.3,2012,"316,328",Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen
98,Vertigo,8.3,1958,"392,052",Alfred Hitchcock,James Stewart,Kim Novak
